,Book,Author,Genres,Avg_Rating
2060,"Firefly Lane (Firefly Lane, #1)",Kristin Hannah,"['Fiction', 'Chick Lit', 'Romance', 'Contemporary', 'Historical Fiction', 'Audiobook', 'Adult']",4.15
2061,Ice in My Veins,Kelli Sullivan,"['Young Adult', 'Romance', 'Fiction', 'Contemporary', 'New Adult']",3.81
2062,The Snow Goose,Paul Gallico,"['Fiction', 'Classics', 'Historical Fiction', 'Short Stories', 'War', 'Animals', 'Childrens']",4.15
2063,The Castle,Franz Kafka,"['Fiction', 'Classics', 'Literature', 'Novels', 'Philosophy']",3.94
2064,"Beartown (Beartown, #1)",Fredrik Backman,"['Fiction', 'Contemporary', 'Audiobook', 'Adult', 'Literary Fiction', 'Adult Fiction']",4.29
2065,Gandhi: An Autobiography,Mahatma Gandhi,"['Biography', 'Nonfiction', 'History', 'Autobiography', 'Philosophy', 'Memoir']",4.1
2066,"Foundation and Empire (Foundation, #2)",Isaac Asimov,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Fantasy', 'Novels']",4.22
2067,Are We Smart Enough to Know How Smart Animals Are?,Frans de Waal,"['Nonfiction', 'Science', 'Animals', 'Psychology', 'Audiobook']",3.96
2068,Lisey's Story,Stephen King,"['Horror', 'Fiction', 'Fantasy', 'Thriller', 'Mystery', 'Audiobook', 'Romance']",3.7
2069,The Painted Veil,W. Somerset Maugham,"['Classics', 'Fiction', 'Historical Fiction', 'Romance', 'Literature', 'British Literature']",3.96
2070,Winter of the World (The Century Trilogy #2),Ken Follett,"['Historical Fiction', 'Fiction', 'Historical', 'War', 'Audiobook', 'Novels']",4.36
2071,A Good Man Is Hard to Find and Other Stories,Flannery O'Connor,"['Short Stories', 'Fiction', 'Classics', 'Literature', 'American']",4.19
2072,The Rime of the Ancient Mariner,Samuel Taylor Coleridge,"['Poetry', 'Classics', 'Fiction', 'Literature', 'Fantasy', 'School']",3.95
2073,The Truth Behind the Lies: One Man's Journey Through Wwiii,Jaeson D. Rau,"['Contemporary', 'Nonfiction', 'Adult', 'Politics', 'New Adult']",4.15
2074,Go the Fuck to Sleep,Adam Mansbach,"['Humor', 'Fiction', 'Childrens', 'Audiobook']",4.27
2075,"Shanghai Girls (Shanghai Girls, #1)",Lisa See,"['Historical Fiction', 'Fiction', 'Historical', 'Adult Fiction']",3.91
2076,"The Pilot's Wife (Fortune's Rocks Quartet, #3)",Anita Shreve,"['Fiction', 'Chick Lit', 'Mystery', 'Contemporary', 'Romance', 'Adult Fiction', 'Adult']",3.55
2077,The Influence of Military Strategies to Business,M.D. White,"['Business', 'Contemporary', 'Nonfiction', 'Adult', 'New Adult']",4.05
2078,The Richest Man in Babylon,George S. Clason,"['Business', 'Nonfiction', 'Self Help', 'Personal Development']",4.25
2079,The Couple Next Door,Shari Lapena,"['Thriller', 'Mystery', 'Fiction', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Crime']",3.81
2080,Musicophilia: Tales of Music and the Brain,Oliver Sacks,"['Nonfiction', 'Science', 'Psychology']",3.94
2081,"Supreme Betrayal (Zachary Blake Legal Thriller, #6)",Mark M. Bello,"['Drama', 'Fiction', 'Contemporary', 'Novels']",4.33
2082,A Debt Free You,Steve Julien,[],4.59
2083,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,"['Romance', 'Fiction', 'Contemporary', 'Audiobook']",4.12
2084,Switch: How to Change Things When Change Is Hard,Chip Heath,"['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Personal Development']",4.03
2085,The Egyptian,Mika Waltari,"['Historical Fiction', 'Fiction', 'Classics', 'Historical', 'Novels']",4.18
2086,"Queen of Shadows (Throne of Glass, #4)",Sarah J. Maas,"['Fantasy', 'Young Adult', 'Romance', 'Magic', 'Fiction']",4.57
2087,"Dealing with Dragons (Enchanted Forest Chronicles, #1)",Patricia C. Wrede,"['Fantasy', 'Young Adult', 'Fiction', 'Middle Grade', 'Childrens', 'Magic']",4.15
2088,Hamilton: The Revolution,Lin-Manuel Miranda,"['Nonfiction', 'History', 'Audiobook', 'Historical']",4.45
2089,Love Auction II: Love Designs,Sharon Carter,"['Fiction', 'Novels', 'Contemporary']",4.36
2090,The Crow Road,Iain Banks,"['Fiction', 'Mystery', 'Contemporary', 'Thriller', 'Novels', 'Crime']",4.08
2091,Even Cowgirls Get the Blues,Tom Robbins,"['Fiction', 'Humor', 'Literature', 'Novels', 'Contemporary', 'Literary Fiction']",3.78
2092,Battle Hymn of the Tiger Mother,Amy  Chua,"['Nonfiction', 'Memoir', 'Biography', 'Biography Memoir']",3.65
2093,Thirteen for Dinner,Kathleen Lopez,"['Novels', 'Contemporary', 'Mystery', 'Fiction']",4.29
2094,"Along Came a Spider (Alex Cross, #1)",James Patterson,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Suspense']",4.12
2095,The Running Man,Richard Bachman,"['Horror', 'Fiction', 'Science Fiction', 'Dystopia', 'Thriller', 'Audiobook', 'Fantasy']",3.89
2096,"Rubinrot (Edelstein-Trilogie, #1)",Kerstin Gier,"['Fantasy', 'Young Adult', 'Romance', 'Historical Fiction', 'Fiction', 'Science Fiction']",4.12
2097,"Dancing with The Field: Bringing Joy, Passion and Play into Everyday Life",Kris Kelkar,['Drama'],4.35
2098,The Lords of Discipline,Pat Conroy,"['Fiction', 'Historical Fiction', 'Classics', 'Literature']",4.32
2100,Modern Romance,Aziz Ansari,"['Nonfiction', 'Humor', 'Audiobook', 'Romance', 'Psychology']",3.81
2101,The Poky Little Puppy,Janette Sebring Lowrey,"['Childrens', 'Fiction', 'Classics', 'Animals']",4.12
2102,"The Diamond Age: Or, a Young Lady's Illustrated Primer",Neal Stephenson,"['Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy']",4.16
2103,"Only Time Will Tell (The Clifton Chronicles, #1)",Jeffrey Archer,"['Fiction', 'Historical Fiction', 'Historical', 'Mystery', 'Audiobook', 'Thriller', 'Drama']",4.1
2104,The Spirit of Prayer: The Believer's Authority on the Earth (The Sons of God Book 2),Tolulope Oyewole,"['Contemporary', 'Novels']",4.45
2105,Death with Interruptions,José Saramago,"['Fiction', 'Fantasy', 'Literature', 'Novels']",3.99
2106,"Storm Front (The Dresden Files, #1)",Jim Butcher,"['Fantasy', 'Urban Fantasy', 'Mystery', 'Fiction', 'Paranormal', 'Magic', 'Audiobook']",3.98
2107,Garlic and Sapphires: The Secret Life of a Critic in Disguise,Ruth Reichl,"['Nonfiction', 'Memoir', 'Biography']",3.94
2108,Voices from Chernobyl: The Oral History of a Nuclear Disaster,Svetlana Alexievich,"['Nonfiction', 'History', 'Science', 'Historical']",4.41
2109,Holy Bible: The New King James Version,Anonymous,"['Religion', 'Christian', 'Nonfiction', 'Classics']",4.53
2110,Push,Sapphire,"['Fiction', 'Young Adult', 'Contemporary', 'Adult Fiction']",3.86
2111,The Tell-Tale Heart,Edgar Allan Poe,"['Classics', 'Short Stories', 'Horror', 'Fiction', 'School', 'Mystery']",4.24
2112,So You Want to Talk About Race,Ijeoma Oluo,"['Nonfiction', 'Audiobook', 'Politics']",4.5
2113,"Rendezvous with Rama (Rama, #1)",Arthur C. Clarke,"['Science Fiction', 'Fiction', 'Classics', 'Science Fiction Fantasy', 'Novels', 'Audiobook']",4.11
2114,"Blackamoores: Africans in Tudor England, Their Presence, Status and Origins",Onyeka,"['History', 'Nonfiction']",4.3
2115,"Say Cheese and Die! (Goosebumps, #4)",R.L. Stine,"['Horror', 'Childrens', 'Fiction', 'Middle Grade', 'Young Adult', 'Fantasy', 'Mystery']",3.77
2116,Trafficked to Hell: A trafficked daughter's plight. A mother's fight to find her.,R.J. Flo,['Nonfiction'],4.49
2117,Lights on the Sea,Miquel Reina,"['Fiction', 'Fantasy', 'Adventure', 'Contemporary', 'Adult']",3.97
2118,The Three Privileges,A.V. Davina,"['Fantasy', 'Fiction', 'Young Adult']",4.39
2119,"Champion (Legend, #3)",Marie Lu,"['Dystopia', 'Young Adult', 'Romance', 'Science Fiction', 'Fantasy', 'Fiction', 'Adventure']",4.33
2120,"Delusions of Gender: How Our Minds, Society, and Neurosexism Create Difference",Cordelia Fine,"['Nonfiction', 'Science', 'Psychology']",4.08
2121,The You Beyond You - The Knowledge of the Willing,Ramzi Najjar,"['Spirituality', 'Self Help', 'Philosophy', 'Nonfiction']",4.39
2122,Pedagogy of the Oppressed,Paulo Freire,"['Nonfiction', 'Philosophy', 'Politics']",4.3
2123,"To Live and Die in Fantasyland (To Live, #3)",Ben Peller,['Fantasy'],4.26
2124,"Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity",Katherine Boo,"['Nonfiction', 'History', 'Audiobook']",3.98
2125,"Harry Potter and the Cursed Child: Parts One and Two (Harry Potter, #8)",J.K. Rowling,"['Fantasy', 'Fiction', 'Young Adult', 'Magic', 'Adventure', 'Middle Grade']",3.51
2126,"The Man Who Loved Books Too Much: The True Story of a Thief, a Detective, and a World of Literary Obsession",Allison Hoover Bartlett,"['Nonfiction', 'Biography', 'Crime', 'History', 'Mystery']",3.44
2127,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,"['Business', 'Nonfiction', 'Psychology', 'Self Help']",3.95
2128,Hallucinations,Oliver Sacks,"['Nonfiction', 'Science', 'Psychology', 'Audiobook']",3.91
2129,She Said!: The Book of Quotes,Chriselda Barretto,"['Fiction', 'Contemporary', 'Adult', 'New Adult', 'Young Adult', 'Poetry']",4.21
2130,Ella Minnow Pea: A Novel in Letters,Mark Dunn,"['Fiction', 'Humor', 'Fantasy', 'Young Adult', 'Dystopia', 'Contemporary', 'Adult']",3.91
2131,Temptation and Denial,Adam Nicke,[],4.52
2132,Generation X: Tales for an Accelerated Culture,Douglas Coupland,"['Fiction', 'Contemporary', 'Novels', 'Literature', 'Literary Fiction', 'Classics']",3.74
2133,"The Summoning (Darkest Powers, #1)",Kelley Armstrong,"['Young Adult', 'Fantasy', 'Paranormal', 'Urban Fantasy', 'Romance', 'Magic']",4.02
2134,"Origin (Robert Langdon, #5)",Dan Brown,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Audiobook', 'Suspense', 'Adventure']",3.88
2135,Just Listen,Sarah Dessen,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Chick Lit']",4.05
2136,"Trust: Betrayed (Trust Trilogy, #2)",Cristiane Serruya,"['Romance', 'Contemporary']",4.03
2137,Die Physiker,Friedrich Dürrenmatt,"['Classics', 'Fiction', 'Drama', 'School']",3.92
2138,Dark Heirloom (Ema Marx #1),J.D.  Brown,"['Paranormal', 'Fantasy', 'Urban Fantasy', 'Romance', 'New Adult']",3.93
2140,Marjorie Morningstar,Herman Wouk,"['Fiction', 'Classics', 'Historical Fiction', 'Romance']",3.98
2141,"Jingo (Discworld, #21; City Watch, #4)",Terry Pratchett,"['Fantasy', 'Fiction', 'Humor', 'Science Fiction Fantasy', 'Audiobook', 'War']",4.17
2142,Daughter of Fortune,Isabel Allende,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Novels', 'Literature']",3.93
2143,The Daughter Of Kurdland: A Life Dedicated to Humankind,Widad Akreyi,"['History', 'Memoir', 'Nonfiction', 'Biography', 'Politics']",4.72
2144,Big Fish,Daniel Wallace,"['Fiction', 'Fantasy', 'Contemporary', 'Adult Fiction', 'Humor', 'Adult']",3.68
2145,Setting the Family Free,Eric D. Goodman,['Fiction'],4.35
2146,The Boy in the Cellar,Stephen Smith,"['Nonfiction', 'Audiobook', 'Biography', 'Memoir', 'Autobiography', 'Crime']",4.43
2147,The Waves,Virginia Woolf,"['Classics', 'Fiction', 'Literature', 'Novels', 'Poetry', 'British Literature']",4.15
2148,"The 5th Wave (The 5th Wave, #1)",Rick Yancey,"['Young Adult', 'Science Fiction', 'Dystopia', 'Fiction', 'Fantasy', 'Romance']",4.02
2149,"South of the Border, West of the Sun",Haruki Murakami,"['Fiction', 'Contemporary', 'Romance', 'Novels']",3.87
2150,Feminism Is for Everybody: Passionate Politics,bell hooks,"['Nonfiction', 'Politics', 'Philosophy']",4.15
2151,We Disappear,Scott Heim,"['Fiction', 'Mystery', 'Contemporary', 'Literary Fiction']",3.54
2152,Seven Brief Lessons on Physics,Carlo Rovelli,"['Science', 'Nonfiction', 'Philosophy', 'Audiobook']",3.98
2153,The Year of Living Biblically: One Man's Humble Quest to Follow the Bible as Literally as Possible,A.J. Jacobs,"['Nonfiction', 'Religion', 'Humor', 'Memoir', 'Biography', 'Spirituality', 'Biography Memoir']",3.75
2154,Om Chanting and Meditation,Amit Ray,"['Spirituality', 'Self Help', 'Religion', 'Nonfiction']",3.91
2155,"Psycho (Psycho, #1)",Robert Bloch,"['Horror', 'Classics', 'Fiction', 'Thriller', 'Mystery', 'Crime', 'Audiobook']",4.12
2156,The Island,Victoria Hislop,"['Historical Fiction', 'Fiction', 'Historical', 'Romance', 'Contemporary', 'Drama']",4.09
2157,"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",Peter Wohlleben,"['Nonfiction', 'Science', 'Audiobook']",4.07
2158,The Taking of Peggy Martin,Karen Glista,"['Thriller', 'Mystery', 'Fiction', 'New Adult', 'Young Adult', 'Contemporary', 'Adult']",4.29
2159,Moon Tiger,Penelope Lively,"['Fiction', 'Historical Fiction', 'Literary Fiction', 'Classics', 'War', 'British Literature', 'Novels']",3.9
2160,The Fever,Megan Abbott,"['Fiction', 'Young Adult', 'Mystery', 'Thriller', 'Horror', 'Contemporary', 'Mystery Thriller']",3.1
2161,Totto-chan: The Little Girl at the Window,Tetsuko Kuroyanagi,"['Nonfiction', 'Childrens', 'Biography', 'Memoir']",4.38
2162,The Perfect Storm: A True Story of Men Against the Sea,Sebastian Junger,"['Nonfiction', 'History', 'Adventure', 'Biography', 'Historical']",4.11
2163,The Trumpet of the Swan,E.B. White,"['Classics', 'Fiction', 'Childrens', 'Animals', 'Fantasy', 'Middle Grade', 'Young Adult']",4.09
2164,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,"['Nonfiction', 'Science', 'History']",4.15
2165,I Contain Multitudes: The Microbes Within Us and a Grander View of Life,Ed Yong,"['Science', 'Nonfiction', 'Audiobook']",4.17
2166,The Essential Neruda: Selected Poems,Pablo Neruda,"['Poetry', 'Classics', 'Fiction', 'Romance', 'Literature']",4.44
2167,"The Bone Collector (Lincoln Rhyme, #1)",Jeffery Deaver,"['Mystery', 'Thriller', 'Fiction', 'Crime', 'Mystery Thriller', 'Suspense']",4.2
2168,The Alice Network,Kate Quinn,"['Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'War', 'Adult']",4.31
2169,Sacajawea,Anna Lee Waldo,"['Historical Fiction', 'Fiction', 'Historical', 'Adventure']",4.25
2170,"Gabriel's Inferno (Gabriel's Inferno, #1)",Sylvain Reynard,"['Romance', 'Contemporary Romance', 'Contemporary', 'Adult', 'New Adult', 'Fiction']",3.98
2171,"Fifty Shades Freed (Fifty Shades, #3)",E.L. James,"['Romance', 'Fiction', 'Adult', 'Contemporary', 'Contemporary Romance']",3.84
2172,The Speed of Life,James Victor Jordan,"['Fiction', 'Novels', 'Contemporary', 'Drama', 'Adult']",4.3
2173,Moneyball: The Art of Winning an Unfair Game,Michael   Lewis,"['Nonfiction', 'Business', 'Biography', 'Audiobook']",4.26
2174,One,Richard Bach,"['Fiction', 'Philosophy', 'Spirituality', 'Fantasy', 'Romance', 'Novels']",3.94
2175,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,"['Nonfiction', 'Self Help', 'Psychology', 'Personal Development', 'Audiobook', 'Business']",4.38
2176,Written on the Body,Jeanette Winterson,"['Fiction', 'Romance', 'Contemporary', 'Literary Fiction', 'Literature']",4.07
2177,Southern Mystical Moments,Patricia H. Graham,"['Fantasy', 'Fiction', 'Horror']",4.26
2178,"The Oedipus Cycle: Oedipus Rex, Oedipus at Colonus, Antigone",Sophocles,"['Classics', 'Drama', 'Fiction', 'School', 'Literature']",3.98
2179,The Island of Dr. Moreau,H.G. Wells,"['Classics', 'Science Fiction', 'Fiction', 'Horror', 'Fantasy', 'Literature']",3.73
2180,Stone Butch Blues,Leslie Feinberg,"['Fiction', 'Classics', 'Historical Fiction']",4.45
2181,The Runaway Jury,John Grisham,"['Fiction', 'Thriller', 'Mystery', 'Crime', 'Suspense', 'Mystery Thriller']",4.01
2182,"The Two Princesses of Bamarre (The Two Princesses of Bamarre, #1)",Gail Carson Levine,"['Fantasy', 'Young Adult', 'Middle Grade', 'Fiction', 'Childrens', 'Romance']",4.05
2183,"Missing Wings (Aranysargas, #1)",Andrea Luhman,"['Fantasy', 'Romance', 'High Fantasy', 'Fiction']",4.29
2184,Alexander Hamilton,Ron Chernow,"['History', 'Biography', 'Nonfiction', 'Politics', 'Audiobook', 'Historical']",4.22
2185,Quo Vadis,Henryk Sienkiewicz,"['Classics', 'Historical Fiction', 'Fiction', 'Historical', 'School', 'Religion']",4.03
2186,The Geography of Bliss: One Grump's Search for the Happiest Places in the World,Eric    Weiner,"['Nonfiction', 'Memoir', 'Psychology', 'Humor', 'Philosophy', 'Audiobook']",3.84
2187,Griffin & Sabine (Griffin & Sabine #1),Nick Bantock,"['Fiction', 'Fantasy', 'Romance', 'Mystery']",4.01
2188,"The Eighth Sister (Charles Jenkins, #1)",Robert Dugoni,"['Fiction', 'Thriller', 'Mystery', 'Mystery Thriller', 'Suspense', 'Audiobook']",4.2
2189,Shrill: Notes from a Loud Woman,Lindy West,"['Nonfiction', 'Memoir', 'Humor', 'Audiobook', 'Biography']",4.18
2190,Consider the Lobster and Other Essays,David Foster Wallace,"['Nonfiction', 'Philosophy', 'Humor', 'Short Stories', 'Literature', 'American']",4.18
2191,The Library Book,Susan Orlean,"['Nonfiction', 'History', 'Audiobook', 'Adult', 'Historical']",3.9
2192,The Cellist of Sarajevo,Steven Galloway,"['Historical Fiction', 'Fiction', 'War', 'Historical']",4.0
2193,L'Assommoir,Émile Zola,"['Classics', 'Fiction', 'Literature', 'Historical Fiction']",4.07
2194,Stories of Your Life and Others,Ted Chiang,"['Short Stories', 'Science Fiction', 'Fiction', 'Fantasy', 'Science Fiction Fantasy']",4.26
2195,Pleasant Day,Vera Jane Cook,"['Fiction', 'Contemporary', 'Mystery Thriller', 'Novels']",4.31
2196,"Damned (Damned, #1)",Chuck Palahniuk,"['Fiction', 'Fantasy', 'Horror', 'Humor', 'Contemporary', 'Audiobook', 'Novels']",3.39
2197,"Swallows and Amazons (Swallows and Amazons, #1)",Arthur Ransome,"['Classics', 'Fiction', 'Childrens', 'Adventure', 'Young Adult', 'Middle Grade', 'Historical Fiction']",4.0
2198,Notes from a Small Island,Bill Bryson,"['Nonfiction', 'Humor', 'Memoir', 'British Literature', 'Biography', 'Audiobook']",3.91
2199,"Winesburg, Ohio",Sherwood Anderson,"['Fiction', 'Classics', 'Short Stories', 'Literature', 'American', 'Literary Fiction']",3.84
2200,The Good Girl,Mary Kubica,"['Mystery', 'Fiction', 'Thriller', 'Mystery Thriller', 'Suspense', 'Audiobook', 'Crime']",3.82
2201,Women & Power: A Manifesto,Mary Beard,"['Nonfiction', 'History', 'Politics']",4.03
2202,On the Shortness of Life: Life Is Long if You Know How to Use It,Seneca,"['Philosophy', 'Nonfiction', 'Classics', 'Self Help', 'Psychology', 'Personal Development']",4.19
2203,Carmilla,J. Sheridan Le Fanu,"['Classics', 'Horror', 'Fiction', 'Fantasy']",3.84
2204,"The Great Book of Amber (The Chronicles of Amber, #1-10)",Roger Zelazny,"['Fantasy', 'Fiction', 'Science Fiction', 'Science Fiction Fantasy', 'High Fantasy', 'Classics']",4.31
2205,"Skulduggery Pleasant (Skulduggery Pleasant, #1)",Derek Landy,"['Fantasy', 'Young Adult', 'Mystery', 'Fiction', 'Urban Fantasy', 'Middle Grade', 'Magic']",4.18
2206,A Vindication of the Rights of Woman,Mary Wollstonecraft,"['Nonfiction', 'Classics', 'Philosophy', 'History', 'Politics']",3.9
2207,"In the Clearing (Tracy Crosswhite, #3)",Robert Dugoni,"['Mystery', 'Fiction', 'Thriller', 'Crime', 'Mystery Thriller', 'Audiobook', 'Suspense']",4.27
2208,Sultana's Dream,Rokeya Sakhawat Hossain,"['Short Stories', 'Fiction', 'Science Fiction', 'Classics', 'Fantasy']",3.89
2209,Better Than Before: Mastering the Habits of Our Everyday Lives,Gretchen Rubin,"['Nonfiction', 'Self Help', 'Personal Development', 'Psychology', 'Audiobook']",3.82
2210,Stumbling on Happiness,Daniel Todd Gilbert,"['Psychology', 'Nonfiction', 'Self Help', 'Science', 'Personal Development', 'Philosophy', 'Business']",3.82
2211,A Murder Is Announced,Agatha Christie,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Mystery Thriller', 'Audiobook']",4.0
2212,"The Midwife: A Memoir of Birth, Joy, and Hard Times",Jennifer Worth,"['Nonfiction', 'Memoir', 'History', 'Biography', 'Historical', 'Audiobook', 'Biography Memoir']",4.18
2213,"The Golem and the Jinni (The Golem and the Jinni, #1)",Helene Wecker,"['Fantasy', 'Historical Fiction', 'Fiction', 'Historical', 'Audiobook', 'Urban Fantasy']",4.12
2214,Civilization and Its Discontents,Sigmund Freud,"['Psychology', 'Philosophy', 'Nonfiction', 'Classics']",3.79
2216,"His Majesty's Dragon (Temeraire, #1)",Naomi Novik,"['Fantasy', 'Historical Fiction', 'Fiction', 'Historical']",4.06
2217,King of the Wind: The Story of the Godolphin Arabian,Marguerite Henry,"['Fiction', 'Historical Fiction', 'Childrens', 'Animals', 'Classics', 'Young Adult']",4.21
2218,Giovanni's Room,James Baldwin,"['Classics', 'Fiction', 'Romance', 'Novels']",4.31
2219,"Botanical Shakespeare: An Illustrated Compendium of All the Flowers, Fruits, Herbs, Trees, Seeds, and Grasses Cited by the World's Greatest Playwright",Gerit Quealy,"['Nonfiction', 'Classics', 'Poetry']",4.18
2220,Prozac Nation,Elizabeth Wurtzel,"['Nonfiction', 'Memoir', 'Psychology', 'Biography', 'Biography Memoir']",3.62
2221,Baise-Moi,Virginie Despentes,"['Fiction', 'Novels']",3.47
2222,"Magic Kingdom for Sale/Sold (Magic Kingdom of Landover, #1)",Terry Brooks,"['Fantasy', 'Fiction', 'Science Fiction Fantasy', 'Humor', 'Magic', 'Adventure', 'Young Adult']",3.91
2223,Never Cry Wolf: The Amazing True Story of Life Among Arctic Wolves,Farley Mowat,"['Nonfiction', 'Animals', 'Science', 'Memoir', 'Biography']",4.21
2224,"The One (The Selection, #3)",Kiera Cass,"['Romance', 'Young Adult', 'Dystopia', 'Fantasy', 'Fiction', 'Audiobook', 'Science Fiction']",4.16
2225,Quidditch Through the Ages,Kennilworthy Whisp,"['Fantasy', 'Fiction', 'Young Adult', 'Childrens', 'Magic', 'Middle Grade', 'Audiobook']",3.81
2226,"Thin Air (Jessica Shaw, #1)",Lisa    Gray,"['Mystery', 'Thriller', 'Fiction', 'Mystery Thriller', 'Crime', 'Suspense', 'Audiobook']",3.94
2227,"I Feel Bad About My Neck, And Other Thoughts on Being a Woman",Nora Ephron,"['Humor', 'Nonfiction', 'Memoir', 'Audiobook']",3.73
2228,The Grand Sophy,Georgette Heyer,"['Romance', 'Historical Fiction', 'Historical', 'Fiction', 'Classics']",4.16
2229,As a Man Thinketh,James Allen,"['Self Help', 'Nonfiction', 'Philosophy', 'Personal Development', 'Psychology', 'Classics', 'Spirituality']",4.25
2230,Life Between Seconds,Douglas Weissman,"['Contemporary', 'Fiction', 'Novels']",4.36
2231,أولاد حارتنا,Naguib Mahfouz,"['Fiction', 'Novels', 'Classics', 'Literature', 'Historical Fiction']",4.09
2232,Fear and Loathing on the Campaign Trail '72,Hunter S. Thompson,"['Nonfiction', 'Politics', 'History', 'Memoir', 'Humor']",4.13
2233,The Book of Lost Things,John Connolly,"['Fantasy', 'Fiction', 'Young Adult', 'Horror', 'Adventure']",3.96
2234,I Miss The World,Violet LeVoit,"['Horror', 'Fiction', 'Crime']",3.85
2235,"Everything, Everything",Nicola Yoon,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Audiobook']",3.99
2236,"The Cricket in Times Square (Chester Cricket and His Friends, #1)",George Selden,"['Childrens', 'Fiction', 'Classics', 'Fantasy', 'Animals', 'Middle Grade', 'Young Adult']",4.03
2237,Orientalism,Edward W. Said,"['Nonfiction', 'History', 'Philosophy', 'Politics']",4.1
2238,"The Angel's Game (The Cemetery of Forgotten Books, #2)",Carlos Ruiz Zafón,"['Fiction', 'Historical Fiction', 'Mystery', 'Fantasy']",3.98
2239,"Penis Politics: A Memoir of Women, Men and Power",Karen  Hinton,['Nonfiction'],4.3
2240,The Bookseller of Kabul,Åsne Seierstad,"['Nonfiction', 'Biography', 'Memoir', 'History']",3.76
2241,The I Ching or Book of Changes,Anonymous,"['Philosophy', 'Spirituality', 'Religion', 'Nonfiction', 'Classics']",4.19
2242,Uncle Vanya,Anton Chekhov,"['Classics', 'Drama', 'Fiction']",3.85
2243,Dr. Faustus,Christopher Marlowe,"['Classics', 'Drama', 'Fiction', 'Fantasy', 'School']",3.8
2244,"The Drawing of the Three (The Dark Tower, #2)",Stephen King,"['Fantasy', 'Fiction', 'Horror', 'Science Fiction', 'Adventure', 'Audiobook']",4.23
2245,"Secrets (Secrets, #1)",Julie Mannino,[],4.19
2246,The Solitaire Mystery,Jostein Gaarder,"['Fiction', 'Philosophy', 'Fantasy', 'Young Adult', 'Mystery', 'Novels']",4.17
2247,The Life-Changing Magic of Not Giving a F*ck: How to Stop Spending Time You Don't Have with People You Don't Like Doing Things You Don't Want to Do (A No F*cks Given Guide),Sarah Knight,"['Nonfiction', 'Self Help', 'Humor', 'Personal Development', 'Audiobook', 'Psychology']",3.42
2248,The Trial and Death of Socrates,Plato,"['Philosophy', 'Classics', 'Nonfiction', 'History', 'Biography', 'School', 'Politics']",4.11
2249,"Secrets II (Secrets, #2)",Julie Mannino,"['Fantasy', 'Romance']",4.07
2250,Little Red Riding Hood,Julie Mannino,"['Romance', 'Fantasy']",3.45
2251,"The Physician (Cole Family Trilogy, #1)",Noah Gordon,"['Historical Fiction', 'Fiction', 'Historical', 'Adventure', 'Classics']",4.39
2253,"Boundless (Unearthly, #3)",Cynthia Hand,"['Young Adult', 'Fantasy', 'Paranormal', 'Romance']",4.12
2254,SPQR: A History of Ancient Rome,Mary Beard,"['History', 'Nonfiction', 'Historical', 'Audiobook', 'Classics']",4.05
2255,"Millennium Approaches (Angels in America, #1)",Tony Kushner,"['Drama', 'Fiction', 'Classics']",4.26
2256,"Daddy-Long-Legs (Daddy-Long-Legs, #1)",Jean Webster,"['Classics', 'Fiction', 'Young Adult', 'Romance', 'Historical Fiction', 'Childrens', 'Novels']",4.15
2257,"Capital: A Critique of Political Economy, Volume 1",Karl Marx,"['Philosophy', 'Politics', 'Nonfiction', 'History', 'Classics']",4.26
2258,We Were Eight Years in Power: An American Tragedy,Ta-Nehisi Coates,"['Nonfiction', 'Politics', 'History', 'Audiobook']",4.39
2259,The War of Art: Winning the Inner Creative Battle,Steven Pressfield,"['Nonfiction', 'Self Help', 'Business', 'Personal Development', 'Psychology']",3.99
2260,Praise of Folly,Erasmus,"['Philosophy', 'Classics', 'Nonfiction', 'Religion', 'Literature', 'History']",3.85
2261,Shake Hands with the Devil,Roméo Dallaire,"['Nonfiction', 'History', 'Politics', 'War', 'Biography', 'Memoir']",4.23
2262,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,"['Nonfiction', 'Business', 'Psychology', 'Self Help', 'Personal Development']",3.95
2263,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"['Fiction', 'High Fantasy', 'Adult', 'Fantasy', 'Audiobook', 'Magic']",4.52
